Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Arsenal,19,4,8,7,20,24,-4,20
Tottenham Hotspur,19,4,8,7,25,30,-5,20
Crystal Palace,19,5,5,9,16,30,-14,20
Brighton \u0026 Hove Albion,19,4,7,8,19,27,-8,19
Everton,19,5,3,11,20,35,-15,18
Newcastle United,19,5,3,11,18,37,-19,18
West Ham United,19,4,5,10,19,29,-10,17
AFC Bournemouth,19,4,1,14,18,35,-17,13
Aston Villa,19,2,5,12,19,37,-18,11
Watford,19,2,4,13,14,37,-23,10
Norwich City,19,1,3,15,7,38,-31,6
Manchester City,38,32,3,3,85,33,52,99
Manchester City,38,26,3,9,102,35,67,81
Manchester United,38,18,12,8,66,36,30,66
Chelsea,38,20,6,12,69,54,15,66
Leicester City,38,18,8,12,67,41,26,62
Tottenham Hotspur,38,16,11,11,61,47,14,59
Wolverhampton Wanderers,38,15,14,9,51,40,11,59
Arsenal,38,14,14,10,56,48,8,56
Sheffield United,38,14,12,12,39,39,0,54
Burnley,38,15,9,14,43,50,-7,54
Southampton,38,15,7,16,51,60,-9,52
Everton,38,13,10,15,44,56,-12,49
Newcastle United,38,11,11,16,38,58,-20,44
Crystal Palace,38,11,10,17,31,50,-19,43
Brighton \u0026 Hove Albion,38,9,14,15,39,54,-15,41
West Ham United,38,10,9,19,49,62,-13,39
Aston Villa,38,9,8,21,41,67,-26,35
AFC Bournemouth,38,9,7,22,40,65,-25,34
Watford,38,8,10,20,36,64,-28,34
Norwich City,38,5,6,27,26,75,-49,21
Liverpool,19,18,1,0,52,16,36,55
Manchester City,19,15,2,2,57,13,44,47
Tottenham Hotspur,19,12,3,4,36,17,19,39
Manchester United,19,10,7,2,40,17,23,37
Leicester City,19,11,4,4,35,17,18,37
Chelsea,19,11,3,5,30,16,14,36
Arsenal,19,10,6,3,36,24,12,36
Sheffield United,19,10,3,6,24,15,9,33
Wolverhampton Wanderers,19,8,7,4,27,19,8,31
Everton,19,8,7,4,24,21,3,31
Burnley,19,8,4,7,24,23,1,28
Newcastle United,19,6,8,5,20,21,-1,26
Watford,19,6,6,7,22,27,-5,24
Aston Villa,19,7,3,9,22,30,-8,24
Crystal Palace,19,6,5,8,15,20,-5,23
West Ham United,19,6,4,9,30,33,-3,22
Brighton \u0026 Hove Albion,19,5,7,7,20,27,-7,22
AFC Bournemouth,19,5,6,8,22,30,-8,21
Southampton,19,6,3,10,21,35,-14,21
Norwich City,19,4,3,12,19,37,-18,15
Liverpool,19,14,2,3,33,17,16,44
Manchester City,19,11,1,7,45,22,23,34
Southampton,19,9,4,6,30,25,5,31
Chelsea,19,9,3,7,39,38,1,30
Manchester United,19,8,5,6,26,19,7,29
Wolverhampton Wanderers,19,7,7,5,24,21,3,28
Burnley,19,7,5,7,19,27,-8,26
Leicester City,19,7,4,8,32,24,8,25
Sheffield United,19,4,9,6,15,24,-9,21
Arsenal,19,4,8,7,20,24,-4,20
Tottenham Hotspur,19,4,8,7,25,30,-5,20
Crystal Palace,19,5,5,9,16,30,-14,20
Brighton \u0026 Hove Albion,19,4,7,8,19,27,-8,19
Everton,19,5,3,11,20,35,-15,18
Newcastle United,19,5,3,11,18,37,-19,18
West Ham United,19,4,5,10,19,29,-10,17
AFC Bournemouth,19,4,1,14,18,35,-17,13
Aston Villa,19,2,5,12,19,37,-18,11
Watford,19,2,4,13,14,37,-23,10
Norwich City,19,1,3,15,7,38,-31,6
